CER: 0.20

Prediction: 杞人千嘅朋友嘆咗一口氣
Reference: 杞人嘅朋友嘆咗一口氣 

Prediction: 聚星流
Reference: 聚星樓 

Prediction: 黎水老開門口過得引過得自己
Reference: 泥水佬開門口過得人過得自己 

Prediction: 嗰次喺跑馬地協和里見到有雞蛋仔格仔餅賣
Reference: 嗰次喺跑馬地協和里見到有雞蛋仔格仔餅賣 

Prediction: 學生話佢知白沙山路係喺大塘但係唔知有冇小巴經嗰度
Reference: 學生話佢知白沙山路係喺大棠但係唔知有冇小巴經嗰度 

Prediction: 有個老人去左坪洲永安環街食齋
Reference: 有個老人去左坪洲永安橫街食齋 

Prediction: 選定了心兒嘅基舊先查詢個人實際連利率咁會比較明致
Reference: 選定了心儀嘅機構先查詢個人實際年利率咁會比較明智 

Prediction: 唔係
Reference: 唔係 

Prediction: 新載妝年加老公收入少過組細碗華部安員
Reference: 正在做廉價勞工收入少過做洗碗或保安員 

Prediction: 搵個奶
Reference: 安哥拉 

Prediction: 大蝦天婦羅
Reference: 大蝦天婦羅 

Prediction: 馬婆豆腐
Reference: 麻婆豆腐 

Prediction: 黃師傅去慈雲山豐華街幫個後生仔睇跌打
Reference: 黃師傅去慈雲山豐華街幫個後生仔睇跌打 

Prediction: 百
Reference: 八 

Prediction: 三
Reference: 三 

Prediction: 過嗎恨過不置
Reference: 這也是我對學生的基本要求 

Prediction: 有個亞伯喺元朗米蘭徑唔見左個銀包
Reference: 有個亞伯喺元朗米蘭徑唔見左個銀包 

Prediction: 夏力道
Reference: 夏力道 

Prediction: 鼓勵大種齊齊樓冰
Reference: 鼓勵大眾齊齊溜冰 

Prediction: 貝
Reference: 我才有力氣走下去 

Prediction: 苦華皮屈
Reference: 畫虎畫皮難畫骨 

Prediction: 我依家喺上水衛和街附近有停車場泊車嗎
Reference: 我依家喺上水衛和街附近有停車場泊車嗎 

Prediction: 老友唔記得去荃灣灰油角街參加緩步跑練習
Reference: 老友唔記得去荃灣灰窰角街參加緩步跑練習 

Prediction: 記得適返公入面香港繁體做有先
Reference: 記得set返chrome入面香港繁體做優先 

Prediction: 二
Reference: 二 

Prediction: 有個亞伯喺沙田耀圍街唔見左個銀包
Reference: 有個亞伯喺沙田窰圍街唔見左個銀包 

Prediction: 鳳布電電
Reference: 瘋瘋癲癲 

Prediction: 日本去就可以做到退休
Reference: 入左去就可以做到退休 

Prediction: 豉油皇雞翼
Reference: 豉油皇雞翼 

Prediction: 聖黑尼斯多福及利維斯
Reference: 聖克里斯多福及尼維斯 

Prediction: 紫徑東路
Reference: 紫荊東路 

Prediction: 算啦唔好下親啲細咋啦
Reference: 算啦唔好嚇親啲細侄啦 

Prediction: 今次真係比你你死細都唔清
Reference: 今次真係俾你累死水洗都唔清 

Prediction: 落緊雨仲要趕住去小瀝源大路山公路打乒乓波
Reference: 落緊雨仲要趕住去小瀝源大老山公路打乒乓波 

Prediction: 枝竹豆腐飯
Reference: 枝竹豆腐飯 

Prediction: 好耐無去土瓜灣北帝街探舅父
Reference: 好耐無去土瓜灣北帝街探舅父 

Prediction: 帶着微消的誤活
Reference: 帶著微笑的活 

Prediction: 茂蘿街
Reference: 茂蘿街 

Prediction: 就算母親節當天走在街上還事每問
Reference: 就算母親節當天走到街上還是會問 

Prediction: 所謂嘅持明燒我一學台見到就唔開載
Reference: 所謂嘅馳名燒鵝一落台見到就唔開胃 

Prediction: 品勝立熱
Reference: 稟性難移 

Prediction: 
Reference: 的士喺銅鑼灣祈禮士道兜左幾個圈 

Prediction: 圖提街
Reference: 菩提街 

Prediction: 好擰
Reference: 零 

Prediction: 若見美報時辰美道
Reference: 若然未報時辰未到 

Prediction: 櫃樹街
Reference: 槐樹街 

Prediction: 新加坡
Reference: 新加坡 

Prediction: 好嘅唔零酒嘅靚
Reference: 好嘅唔靈醜嘅靈 

Prediction: 可六
Reference: 可樂 

Prediction: 謝謝所有香港有心的醫會人員
Reference: 謝謝所有香港有心的醫謢人員 

Prediction: 你哋快啲啦婆火佢哋而家喺荔景站等緊你哋
Reference: 你哋快啲啦婆婆佢哋而家喺荔景站等緊你哋 

Prediction: 請問你有無聽過浪茄灣附近體魚咸餅喺邊度
Reference: 請問你有無聽過浪茄灣附近睇魚岩頂喺邊度 

Prediction: 香港大回堂
Reference: 香港大會堂 

Prediction: 我得唔十蚊咋
Reference: 我得五十蚊喳 

Prediction: 反工前肉
Reference: 返工緊要 

Prediction: 佢睇唔清楚
Reference: 佢睇唔清楚 

Prediction: 係
Reference: 係 

Prediction: 海道
Reference: 貨運道 

Prediction: 撻
Reference: 七 

Prediction: 痴線蜘蛛啲蜘蛛絲黐住枝樹枝
Reference: 黐線蜘蛛啲蜘蛛絲黐住支樹枝 

Prediction: 許當年
Reference: 許多年 

Prediction: 講然視你知
Reference: 講件事你知 

Prediction: 四
Reference: 四 

Prediction: 應過時知道全安海怪他變推雲吞言最色
Reference: 邊個會知道荃灣海壩街邊間雲吞麵最好食 

Prediction: 大嫂要去馬安翻沙安街嗰度買啲嘢
Reference: 大嫂要去馬鞍山沙安街嗰度買啲嘢 

Prediction: 真係要麻慢揀花多眼完千祈唔好需我
Reference: 真係要慢慢揀花多眼亂千祈唔好催我 

Prediction: 如果未去過荃灣嘅兆禾街真係要搵個時間去行吓
Reference: 如果未去過荃灣嘅兆和街就真係要搵個時間去行吓 

Prediction: 有無人知道荃灣海浪徑係點去㗎
Reference: 有無人知道荃灣海浪徑係點去㗎 

Prediction: 綠合街
Reference: 六合街 

Prediction: 有個老婆婆喺元朗士徑等路等緊小巴
Reference: 有個老婆婆喺元朗紫荊東路等緊小巴 

Prediction: 因次煙定其生展腳鴨
Reference: 因此應定期修剪腳甲 

Prediction: [UNK]拿
Reference: 希臘 

Prediction: 點解唔見左大埔大富街對開嗰個巴士站
Reference: 點解唔見左大埔大富街對開嗰個巴士站 

Prediction: 司機大佬唔該快啲頭先喺馬山喜泰街跌左部手機
Reference: 司機大佬唔該快啲頭先喺馬鞍山喜泰街跌左部手機 

Prediction: 你知唔唔知點去九龍灣宏崗道嗰間缽仔糕
Reference: 你知唔知點去九龍灣宏光道嗰間缽仔糕 

Prediction: 舊域多利軍營蒙高馬利樓
Reference: 舊域多利軍營蒙高瑪利樓 

Prediction: 大嫂要去洪水濤沙洲里路嗰度買啲
Reference: 大嫂要去洪水橋沙洲里路嗰度買啲嘢 

Prediction: 情實可以再快啲
Reference: 其實可以再快啲 

Prediction: 何虎州居奴頓
Reference: 何苦舟車勞頓 

Prediction: 魚香茄子飯
Reference: 魚香茄子飯 

Prediction: 落緊嘢仲要闆住去天水圍天情打乒乓波
Reference: 落緊雨仲要趕住去天水圍天城路打乒乓波 

Prediction: 咖哩局
Reference: 咖喱角 

Prediction: 魚香茄子煲
Reference: 魚香茄子煲 

Prediction: 經弟唔好話有睇送食飯
Reference: 經濟唔好唯有睇餸食飯 

Prediction: 嗰條木嘴都唔都話頭醒未嘅
Reference: 個條木嘴都唔得話頭醒尾嘅 

Prediction: 如果佢喺黃大仙金廠街搵唔到便利店買汽水
Reference: 如果佢喺黃大仙金鳳街搵唔到便利店買汽水 

Prediction: 有個老人去左牛池灣沐翠街食齋
Reference: 有個老人去左牛池灣沐翠街食齋 

Prediction: 你知唔知點去北角宏安道間缽仔糕
Reference: 你知唔知點去北角宏安道嗰間缽仔糕 

Prediction: 鹽燒銀説魚骨
Reference: 鹽燒銀雪魚骨 

Prediction: 唔使用掂嘅用黑船煲就得喇
Reference: 唔使用劍嘅用黑旋風就得啦 

Prediction: 西航似係大路緊善咁叫
Reference: 西紅杮係大陸人先咁叫 

Prediction: 上海豬扒粗炒
Reference: 上海豬扒粗炒 

Prediction: 司機大佬唔該快啲頭先喺上水嘉貨澳安跌左部手機
Reference: 司機大佬唔該快啲頭先喺上水嘉富坊跌左部手機 

Prediction: 嗰次喺淺水灣南灣坊見到有雞蛋仔格仔餅賣
Reference: 嗰次喺淺水灣南灣坊見到有雞蛋仔格仔餅賣 

Prediction: 亞拉伯亂合大供國
Reference: 阿拉伯聯合大公國 

Prediction: 要為你的行維富責
Reference: 要為你的行為負責 

Prediction: 點解唔見左大圍大埔公路沙田嶺段對開嗰個巴士站
Reference: 點解唔見左大圍大埔公路沙田嶺段對開嗰個巴士站 

Prediction: 你哋快啲啦大舅父佢哋而家喺條景嶺站等緊你哋
Reference: 你哋快啲啦大舅父佢哋而家喺調景嶺站等緊你哋 

Prediction: 你知唔知點去元朗宏樂街嗰間缽仔糕
Reference: 你知唔知點去元朗宏樂街嗰間缽仔糕 

Prediction: 跑馬地羅田鳳附近有無照級士場
Reference: 跑馬地樂天峰附近有無超級市場 

Prediction: 請問有無人食去筲箕灣田約筲幾玩講場
Reference: 請問有無人識得去筲箕灣天悅筲箕灣廣場 

Prediction: 健康促進學校計劃
Reference: 健康促進學校計劃 

Prediction: 杞人既朋友離搵佢
Reference: 杞人嘅朋友嚟搵佢 

Prediction: 雪糕天婦羅
Reference: 雪糕天婦羅 

Prediction: 有無人知道荃灣海角街係點去㗎
Reference: 有無人知道荃灣海角街係點去㗎 

Prediction: 冰雪聰明
Reference: 冰雪聰明 

Prediction: 無是那人心裏的痛
Reference: 無視那人心裏的痛 

Prediction: 金鋪輸靠晒利啦
Reference: 今鋪輸靠曬你啦 

Prediction: 他便變了歛鐵一般青
Reference: 他便變了臉鐵一般青 

